LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,HUR,TOT,PC_LF,M,2019-10,5.297781,
AUS,HUR,TOT,PC_LF,M,2019-11,5.139451,
AUS,HUR,TOT,PC_LF,M,2019-12,5.050057,
AUS,HUR,TOT,PC_LF,M,2020-01,5.263393,
AUS,HUR,TOT,PC_LF,M,2020-02,5.076525,
AUS,HUR,TOT,PC_LF,M,2020-03,5.218752,
AUS,HUR,TOT,PC_LF,M,2020-04,6.352233,
AUS,HUR,TOT,PC_LF,M,2020-05,7.060637,
AUS,HUR,TOT,PC_LF,M,2020-06,7.433705,
AUS,HUR,TOT,PC_LF,M,2020-07,7.478235,
AUS,HUR,TOT,PC_LF,M,2020-08,6.804698,
AUS,HUR,TOT,PC_LF,M,2020-09,6.909572,
AUS,HUR,TOT,PC_LF,M,2020-10,6.980306,
AUS,HUR,TOT,PC_LF,M,2020-11,6.817515,
AUS,HUR,TOT,PC_LF,M,2020-12,6.589865,
AUS,HUR,TOT,PC_LF,M,2021-01,6.344082,
AUS,HUR,TOT,PC_LF,M,2021-02,5.829643,
AUT,HUR,TOT,PC_LF,M,2019-10,4.4,
AUT,HUR,TOT,PC_LF,M,2019-11,4.3,
AUT,HUR,TOT,PC_LF,M,2019-12,4.3,
AUT,HUR,TOT,PC_LF,M,2020-01,4.4,
AUT,HUR,TOT,PC_LF,M,2020-02,4.5,
AUT,HUR,TOT,PC_LF,M,2020-03,4.8,
AUT,HUR,TOT,PC_LF,M,2020-04,4.9,
AUT,HUR,TOT,PC_LF,M,2020-05,5.8,
AUT,HUR,TOT,PC_LF,M,2020-06,6,
AUT,HUR,TOT,PC_LF,M,2020-07,5.8,
AUT,HUR,TOT,PC_LF,M,2020-08,5.6,
AUT,HUR,TOT,PC_LF,M,2020-09,5.5,
AUT,HUR,TOT,PC_LF,M,2020-10,5.4,
AUT,HUR,TOT,PC_LF,M,2020-11,5.5,
AUT,HUR,TOT,PC_LF,M,2020-12,5.8,
AUT,HUR,TOT,PC_LF,M,2021-01,5.7,E
AUT,HUR,TOT,PC_LF,M,2021-02,5.7,E
BEL,HUR,TOT,PC_LF,M,2019-10,5.2,
BEL,HUR,TOT,PC_LF,M,2019-11,5.2,
BEL,HUR,TOT,PC_LF,M,2019-12,5.2,
BEL,HUR,TOT,PC_LF,M,2020-01,5.1,
BEL,HUR,TOT,PC_LF,M,2020-02,5,
BEL,HUR,TOT,PC_LF,M,2020-03,4.9,
BEL,HUR,TOT,PC_LF,M,2020-04,4.9,
BEL,HUR,TOT,PC_LF,M,2020-05,4.9,
BEL,HUR,TOT,PC_LF,M,2020-06,5.4,
BEL,HUR,TOT,PC_LF,M,2020-07,6,
BEL,HUR,TOT,PC_LF,M,2020-08,6.5,
BEL,HUR,TOT,PC_LF,M,2020-09,6.4,
BEL,HUR,TOT,PC_LF,M,2020-10,6,
BEL,HUR,TOT,PC_LF,M,2020-11,5.8,
BEL,HUR,TOT,PC_LF,M,2020-12,5.7,
BEL,HUR,TOT,PC_LF,M,2021-01,5.6,
BEL,HUR,TOT,PC_LF,M,2021-02,5.7,
CAN,HUR,TOT,PC_LF,M,2019-10,5.6,
CAN,HUR,TOT,PC_LF,M,2019-11,5.9,
CAN,HUR,TOT,PC_LF,M,2019-12,5.7,
CAN,HUR,TOT,PC_LF,M,2020-01,5.6,
CAN,HUR,TOT,PC_LF,M,2020-02,5.7,
CAN,HUR,TOT,PC_LF,M,2020-03,7.9,
CAN,HUR,TOT,PC_LF,M,2020-04,13.1,
CAN,HUR,TOT,PC_LF,M,2020-05,13.7,
CAN,HUR,TOT,PC_LF,M,2020-06,12.5,
CAN,HUR,TOT,PC_LF,M,2020-07,10.9,
CAN,HUR,TOT,PC_LF,M,2020-08,10.2,
CAN,HUR,TOT,PC_LF,M,2020-09,9.2,
CAN,HUR,TOT,PC_LF,M,2020-10,9,
CAN,HUR,TOT,PC_LF,M,2020-11,8.6,
CAN,HUR,TOT,PC_LF,M,2020-12,8.8,
CAN,HUR,TOT,PC_LF,M,2021-01,9.4,
CAN,HUR,TOT,PC_LF,M,2021-02,8.2,
CAN,HUR,TOT,PC_LF,M,2021-03,7.5,
CZE,HUR,TOT,PC_LF,M,2019-10,2.2,
CZE,HUR,TOT,PC_LF,M,2019-11,2.1,
CZE,HUR,TOT,PC_LF,M,2019-12,2,
CZE,HUR,TOT,PC_LF,M,2020-01,1.9,
CZE,HUR,TOT,PC_LF,M,2020-02,1.8,
CZE,HUR,TOT,PC_LF,M,2020-03,2,
CZE,HUR,TOT,PC_LF,M,2020-04,2.2,
CZE,HUR,TOT,PC_LF,M,2020-05,2.5,
CZE,HUR,TOT,PC_LF,M,2020-06,2.6,
CZE,HUR,TOT,PC_LF,M,2020-07,3,
CZE,HUR,TOT,PC_LF,M,2020-08,2.7,
CZE,HUR,TOT,PC_LF,M,2020-09,2.8,
CZE,HUR,TOT,PC_LF,M,2020-10,3.2,
CZE,HUR,TOT,PC_LF,M,2020-11,2.9,
CZE,HUR,TOT,PC_LF,M,2020-12,3.1,
CZE,HUR,TOT,PC_LF,M,2021-01,3.3,
CZE,HUR,TOT,PC_LF,M,2021-02,3.2,
DNK,HUR,TOT,PC_LF,M,2019-10,5.2,
DNK,HUR,TOT,PC_LF,M,2019-11,5.1,
DNK,HUR,TOT,PC_LF,M,2019-12,5,
DNK,HUR,TOT,PC_LF,M,2020-01,5,
DNK,HUR,TOT,PC_LF,M,2020-02,5,
DNK,HUR,TOT,PC_LF,M,2020-03,4.8,
DNK,HUR,TOT,PC_LF,M,2020-04,4.9,
DNK,HUR,TOT,PC_LF,M,2020-05,5.5,
DNK,HUR,TOT,PC_LF,M,2020-06,6,
DNK,HUR,TOT,PC_LF,M,2020-07,6.3,
DNK,HUR,TOT,PC_LF,M,2020-08,6.2,
DNK,HUR,TOT,PC_LF,M,2020-09,6,
DNK,HUR,TOT,PC_LF,M,2020-10,6,
DNK,HUR,TOT,PC_LF,M,2020-11,5.9,
DNK,HUR,TOT,PC_LF,M,2020-12,6.1,
DNK,HUR,TOT,PC_LF,M,2021-01,6.1,
DNK,HUR,TOT,PC_LF,M,2021-02,6.1,
FIN,HUR,TOT,PC_LF,M,2019-10,6.9,
FIN,HUR,TOT,PC_LF,M,2019-11,6.8,
FIN,HUR,TOT,PC_LF,M,2019-12,6.6,
FIN,HUR,TOT,PC_LF,M,2020-01,6.9,
FIN,HUR,TOT,PC_LF,M,2020-02,6.6,
FIN,HUR,TOT,PC_LF,M,2020-03,6.7,
FIN,HUR,TOT,PC_LF,M,2020-04,7.3,
FIN,HUR,TOT,PC_LF,M,2020-05,8.2,
FIN,HUR,TOT,PC_LF,M,2020-06,7.8,
FIN,HUR,TOT,PC_LF,M,2020-07,8.6,
FIN,HUR,TOT,PC_LF,M,2020-08,8.5,
FIN,HUR,TOT,PC_LF,M,2020-09,8.4,
FIN,HUR,TOT,PC_LF,M,2020-10,8.2,
FIN,HUR,TOT,PC_LF,M,2020-11,7.8,
FIN,HUR,TOT,PC_LF,M,2020-12,8.4,
FRA,HUR,TOT,PC_LF,M,2019-10,8.3,
FRA,HUR,TOT,PC_LF,M,2019-11,8.2,
FRA,HUR,TOT,PC_LF,M,2019-12,8.2,
FRA,HUR,TOT,PC_LF,M,2020-01,8.2,
FRA,HUR,TOT,PC_LF,M,2020-02,7.7,
FRA,HUR,TOT,PC_LF,M,2020-03,7.4,
FRA,HUR,TOT,PC_LF,M,2020-04,7.4,
FRA,HUR,TOT,PC_LF,M,2020-05,6.8,
FRA,HUR,TOT,PC_LF,M,2020-06,7.3,
FRA,HUR,TOT,PC_LF,M,2020-07,8.8,
FRA,HUR,TOT,PC_LF,M,2020-08,9.3,
FRA,HUR,TOT,PC_LF,M,2020-09,9.3,
FRA,HUR,TOT,PC_LF,M,2020-10,8.5,
FRA,HUR,TOT,PC_LF,M,2020-11,8.1,
FRA,HUR,TOT,PC_LF,M,2020-12,7.8,
FRA,HUR,TOT,PC_LF,M,2021-01,7.9,
FRA,HUR,TOT,PC_LF,M,2021-02,8,
DEU,HUR,TOT,PC_LF,M,2019-10,3.1,
DEU,HUR,TOT,PC_LF,M,2019-11,3.2,
DEU,HUR,TOT,PC_LF,M,2019-12,3.3,
DEU,HUR,TOT,PC_LF,M,2020-01,3.4,E
DEU,HUR,TOT,PC_LF,M,2020-02,3.6,E
DEU,HUR,TOT,PC_LF,M,2020-03,3.8,E
DEU,HUR,TOT,PC_LF,M,2020-04,4,E
DEU,HUR,TOT,PC_LF,M,2020-05,4.2,E
DEU,HUR,TOT,PC_LF,M,2020-06,4.3,E
DEU,HUR,TOT,PC_LF,M,2020-07,4.4,E
DEU,HUR,TOT,PC_LF,M,2020-08,4.5,E
DEU,HUR,TOT,PC_LF,M,2020-09,4.5,E
DEU,HUR,TOT,PC_LF,M,2020-10,4.5,E
DEU,HUR,TOT,PC_LF,M,2020-11,4.6,E
DEU,HUR,TOT,PC_LF,M,2020-12,4.6,E
DEU,HUR,TOT,PC_LF,M,2021-01,4.6,E
DEU,HUR,TOT,PC_LF,M,2021-02,4.5,E
GRC,HUR,TOT,PC_LF,M,2019-10,16.9,
GRC,HUR,TOT,PC_LF,M,2019-11,16.6,
GRC,HUR,TOT,PC_LF,M,2019-12,16.4,
GRC,HUR,TOT,PC_LF,M,2020-01,16.7,
GRC,HUR,TOT,PC_LF,M,2020-02,15.4,
GRC,HUR,TOT,PC_LF,M,2020-03,15.9,
GRC,HUR,TOT,PC_LF,M,2020-04,16.3,
GRC,HUR,TOT,PC_LF,M,2020-05,16.7,
GRC,HUR,TOT,PC_LF,M,2020-06,17.8,
GRC,HUR,TOT,PC_LF,M,2020-07,16.8,
GRC,HUR,TOT,PC_LF,M,2020-08,16.9,
GRC,HUR,TOT,PC_LF,M,2020-09,16.6,
GRC,HUR,TOT,PC_LF,M,2020-10,16.4,
GRC,HUR,TOT,PC_LF,M,2020-11,16.2,
GRC,HUR,TOT,PC_LF,M,2020-12,15.8,
HUN,HUR,TOT,PC_LF,M,2019-10,3.6,
HUN,HUR,TOT,PC_LF,M,2019-11,3.3,
HUN,HUR,TOT,PC_LF,M,2019-12,2.9,
HUN,HUR,TOT,PC_LF,M,2020-01,3.8,
HUN,HUR,TOT,PC_LF,M,2020-02,3.5,
HUN,HUR,TOT,PC_LF,M,2020-03,3.4,
HUN,HUR,TOT,PC_LF,M,2020-04,4.1,
HUN,HUR,TOT,PC_LF,M,2020-05,4.4,
HUN,HUR,TOT,PC_LF,M,2020-06,5,
HUN,HUR,TOT,PC_LF,M,2020-07,4.5,
HUN,HUR,TOT,PC_LF,M,2020-08,3.8,
HUN,HUR,TOT,PC_LF,M,2020-09,4.5,
HUN,HUR,TOT,PC_LF,M,2020-10,4.4,
HUN,HUR,TOT,PC_LF,M,2020-11,4,
HUN,HUR,TOT,PC_LF,M,2020-12,4.1,
HUN,HUR,TOT,PC_LF,M,2021-01,4.9,
HUN,HUR,TOT,PC_LF,M,2021-02,4.5,
ISL,HUR,TOT,PC_LF,M,2019-10,4.2,
ISL,HUR,TOT,PC_LF,M,2019-11,4.3,
ISL,HUR,TOT,PC_LF,M,2019-12,4.5,
ISL,HUR,TOT,PC_LF,M,2020-01,4.7,
ISL,HUR,TOT,PC_LF,M,2020-02,5,
ISL,HUR,TOT,PC_LF,M,2020-03,5.3,
ISL,HUR,TOT,PC_LF,M,2020-04,5.6,
ISL,HUR,TOT,PC_LF,M,2020-05,6,
ISL,HUR,TOT,PC_LF,M,2020-06,6.2,
ISL,HUR,TOT,PC_LF,M,2020-07,6.4,
ISL,HUR,TOT,PC_LF,M,2020-08,6.6,
ISL,HUR,TOT,PC_LF,M,2020-09,6.8,
ISL,HUR,TOT,PC_LF,M,2020-10,7,
ISL,HUR,TOT,PC_LF,M,2020-11,7.1,
ISL,HUR,TOT,PC_LF,M,2020-12,7,
ISL,HUR,TOT,PC_LF,M,2021-01,6.9,
ISL,HUR,TOT,PC_LF,M,2021-02,6.8,
IRL,HUR,TOT,PC_LF,M,2019-10,4.6,
IRL,HUR,TOT,PC_LF,M,2019-11,4.7,
IRL,HUR,TOT,PC_LF,M,2019-12,4.8,
IRL,HUR,TOT,PC_LF,M,2020-01,5.1,
IRL,HUR,TOT,PC_LF,M,2020-02,5,
IRL,HUR,TOT,PC_LF,M,2020-03,5,
IRL,HUR,TOT,PC_LF,M,2020-04,4.7,
IRL,HUR,TOT,PC_LF,M,2020-05,4.8,
IRL,HUR,TOT,PC_LF,M,2020-06,5.3,
IRL,HUR,TOT,PC_LF,M,2020-07,6.2,
IRL,HUR,TOT,PC_LF,M,2020-08,6.6,
IRL,HUR,TOT,PC_LF,M,2020-09,6.8,
IRL,HUR,TOT,PC_LF,M,2020-10,6.2,
IRL,HUR,TOT,PC_LF,M,2020-11,6,
IRL,HUR,TOT,PC_LF,M,2020-12,5.8,
IRL,HUR,TOT,PC_LF,M,2021-01,5.8,
IRL,HUR,TOT,PC_LF,M,2021-02,5.8,
IRL,HUR,TOT,PC_LF,M,2021-03,5.8,
ITA,HUR,TOT,PC_LF,M,2019-10,9.7,P
ITA,HUR,TOT,PC_LF,M,2019-11,9.9,P
ITA,HUR,TOT,PC_LF,M,2019-12,9.9,P
ITA,HUR,TOT,PC_LF,M,2020-01,9.7,P
ITA,HUR,TOT,PC_LF,M,2020-02,9.8,P
ITA,HUR,TOT,PC_LF,M,2020-03,7.4,P
ITA,HUR,TOT,PC_LF,M,2020-04,7.5,P
ITA,HUR,TOT,PC_LF,M,2020-05,8.5,P
ITA,HUR,TOT,PC_LF,M,2020-06,9.3,P
ITA,HUR,TOT,PC_LF,M,2020-07,9.9,P
ITA,HUR,TOT,PC_LF,M,2020-08,9.9,P
ITA,HUR,TOT,PC_LF,M,2020-09,10,P
ITA,HUR,TOT,PC_LF,M,2020-10,10,P
ITA,HUR,TOT,PC_LF,M,2020-11,9.7,P
ITA,HUR,TOT,PC_LF,M,2020-12,9.8,P
ITA,HUR,TOT,PC_LF,M,2021-01,10.3,P
ITA,HUR,TOT,PC_LF,M,2021-02,10.2,P
JPN,HUR,TOT,PC_LF,M,2019-10,2.4,
JPN,HUR,TOT,PC_LF,M,2019-11,2.3,
JPN,HUR,TOT,PC_LF,M,2019-12,2.2,
JPN,HUR,TOT,PC_LF,M,2020-01,2.4,
JPN,HUR,TOT,PC_LF,M,2020-02,2.4,
JPN,HUR,TOT,PC_LF,M,2020-03,2.5,
JPN,HUR,TOT,PC_LF,M,2020-04,2.6,
JPN,HUR,TOT,PC_LF,M,2020-05,2.8,
JPN,HUR,TOT,PC_LF,M,2020-06,2.8,
JPN,HUR,TOT,PC_LF,M,2020-07,2.9,
JPN,HUR,TOT,PC_LF,M,2020-08,3,
JPN,HUR,TOT,PC_LF,M,2020-09,3,
JPN,HUR,TOT,PC_LF,M,2020-10,3.1,
JPN,HUR,TOT,PC_LF,M,2020-11,3,
JPN,HUR,TOT,PC_LF,M,2020-12,3,
JPN,HUR,TOT,PC_LF,M,2021-01,2.9,
JPN,HUR,TOT,PC_LF,M,2021-02,2.9,
KOR,HUR,TOT,PC_LF,M,2019-10,3.5,
KOR,HUR,TOT,PC_LF,M,2019-11,3.7,
KOR,HUR,TOT,PC_LF,M,2019-12,3.7,
KOR,HUR,TOT,PC_LF,M,2020-01,3.9,
KOR,HUR,TOT,PC_LF,M,2020-02,3.4,
KOR,HUR,TOT,PC_LF,M,2020-03,3.8,
KOR,HUR,TOT,PC_LF,M,2020-04,3.8,
KOR,HUR,TOT,PC_LF,M,2020-05,4.3,
KOR,HUR,TOT,PC_LF,M,2020-06,4.2,
KOR,HUR,TOT,PC_LF,M,2020-07,4.1,
KOR,HUR,TOT,PC_LF,M,2020-08,3.3,
KOR,HUR,TOT,PC_LF,M,2020-09,4,
KOR,HUR,TOT,PC_LF,M,2020-10,4.2,
KOR,HUR,TOT,PC_LF,M,2020-11,4.2,
KOR,HUR,TOT,PC_LF,M,2020-12,4.5,
KOR,HUR,TOT,PC_LF,M,2021-01,5.4,
KOR,HUR,TOT,PC_LF,M,2021-02,4,
KOR,HUR,TOT,PC_LF,M,2021-03,3.9,
LUX,HUR,TOT,PC_LF,M,2019-10,5.5,
LUX,HUR,TOT,PC_LF,M,2019-11,5.6,
LUX,HUR,TOT,PC_LF,M,2019-12,5.6,
LUX,HUR,TOT,PC_LF,M,2020-01,5.7,
LUX,HUR,TOT,PC_LF,M,2020-02,5.7,
LUX,HUR,TOT,PC_LF,M,2020-03,6.5,
LUX,HUR,TOT,PC_LF,M,2020-04,7.4,
LUX,HUR,TOT,PC_LF,M,2020-05,7.7,
LUX,HUR,TOT,PC_LF,M,2020-06,7.7,
LUX,HUR,TOT,PC_LF,M,2020-07,7.2,
LUX,HUR,TOT,PC_LF,M,2020-08,6.8,
LUX,HUR,TOT,PC_LF,M,2020-09,6.7,
LUX,HUR,TOT,PC_LF,M,2020-10,6.5,
LUX,HUR,TOT,PC_LF,M,2020-11,6.6,
LUX,HUR,TOT,PC_LF,M,2020-12,6.7,
LUX,HUR,TOT,PC_LF,M,2021-01,6.8,
LUX,HUR,TOT,PC_LF,M,2021-02,6.7,
MEX,HUR,TOT,PC_LF,M,2019-10,3.573178,
MEX,HUR,TOT,PC_LF,M,2019-11,3.547778,
MEX,HUR,TOT,PC_LF,M,2019-12,3.248291,
MEX,HUR,TOT,PC_LF,M,2020-01,3.629668,
MEX,HUR,TOT,PC_LF,M,2020-02,3.628687,
MEX,HUR,TOT,PC_LF,M,2020-03,3.22817,B
MEX,HUR,TOT,PC_LF,M,2020-04,4.799376,
MEX,HUR,TOT,PC_LF,M,2020-05,4.349049,
MEX,HUR,TOT,PC_LF,M,2020-06,5.46489,B
MEX,HUR,TOT,PC_LF,M,2020-07,5.120521,
MEX,HUR,TOT,PC_LF,M,2020-08,4.947099,
MEX,HUR,TOT,PC_LF,M,2020-09,4.7202,
MEX,HUR,TOT,PC_LF,M,2020-10,4.608593,
MEX,HUR,TOT,PC_LF,M,2020-11,4.52079,
MEX,HUR,TOT,PC_LF,M,2020-12,4.267515,
MEX,HUR,TOT,PC_LF,M,2021-01,4.50358,
MEX,HUR,TOT,PC_LF,M,2021-02,4.459568,
NLD,HUR,TOT,PC_LF,M,2019-10,3.5,
NLD,HUR,TOT,PC_LF,M,2019-11,3.5,
NLD,HUR,TOT,PC_LF,M,2019-12,3.2,
NLD,HUR,TOT,PC_LF,M,2020-01,3,
NLD,HUR,TOT,PC_LF,M,2020-02,2.9,
NLD,HUR,TOT,PC_LF,M,2020-03,2.9,
NLD,HUR,TOT,PC_LF,M,2020-04,3.4,
NLD,HUR,TOT,PC_LF,M,2020-05,3.6,
NLD,HUR,TOT,PC_LF,M,2020-06,4.3,
NLD,HUR,TOT,PC_LF,M,2020-07,4.5,
NLD,HUR,TOT,PC_LF,M,2020-08,4.6,
NLD,HUR,TOT,PC_LF,M,2020-09,4.4,
NLD,HUR,TOT,PC_LF,M,2020-10,4.3,
NLD,HUR,TOT,PC_LF,M,2020-11,4,
NLD,HUR,TOT,PC_LF,M,2020-12,3.9,
NLD,HUR,TOT,PC_LF,M,2021-01,3.6,
NLD,HUR,TOT,PC_LF,M,2021-02,3.6,
NOR,HUR,TOT,PC_LF,M,2019-10,3.8,
NOR,HUR,TOT,PC_LF,M,2019-11,4,
NOR,HUR,TOT,PC_LF,M,2019-12,3.9,
NOR,HUR,TOT,PC_LF,M,2020-01,3.7,
NOR,HUR,TOT,PC_LF,M,2020-02,3.5,
NOR,HUR,TOT,PC_LF,M,2020-03,3.6,
NOR,HUR,TOT,PC_LF,M,2020-04,4.1,
NOR,HUR,TOT,PC_LF,M,2020-05,4.6,
NOR,HUR,TOT,PC_LF,M,2020-06,5.2,
NOR,HUR,TOT,PC_LF,M,2020-07,5.2,
NOR,HUR,TOT,PC_LF,M,2020-08,5.3,
NOR,HUR,TOT,PC_LF,M,2020-09,5.1,
NOR,HUR,TOT,PC_LF,M,2020-10,5.2,
NOR,HUR,TOT,PC_LF,M,2020-11,5,
